cause,effect,adjustment_set,same_scc
aaeR,aaeA,crp,False
aaeR,aaeB,crp,False
aaeR,aaeX,crp,False
accB,accC,fadR|rpoD,False
marA,ariR,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,dctR,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,False
marA,decR,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,fpr,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,hdeA,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False
marA,hdeB,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False
marA,lacA,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False
marA,lacY,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False
marA,lacZ,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,False
marA,mlaB,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,mlaC,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,mlaD,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,mlaE,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,mlaF,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,poxB,acrR|cpxR|cra|crp|fis|fnr|nac|narL|narP|nsrR|ompR|oxyR|rpoD|rpoS|soxS,False
marA,pqiA,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,pqiB,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,pqiC,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,purA,acrR|cpxR|cra|crp|fis|gadE|nac|ompR|purR|rpoD|soxS,False
marA,putA,acrR|arcA|basR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS|yeiE,False
marA,slp,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|hns|nac|ompR|rcsB|rpoD|soxS|torR|ydeO,False
marA,waaY,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,waaZ,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,xseA,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
marA,ycgZ,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,yhiD,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,False
marA,ymgA,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,ymgC,acrR|bluR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,False
marA,yncE,acrR|arcA|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,False
soxS,fldA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
soxS,nepI,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
ada,aidB,lrp|rpoD|rpoS,False
ada,alkA,rpoD|rpoS,False
ada,alkB,rpoD|rpoS,False
lrp,trhO,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,tsuA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yaaX,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yabQ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yacL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybdF,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybdG,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybdL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybgS,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybhQ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybiJ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA|yhaJ,False
lrp,ybiO,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ybjS,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ycaM,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yceB,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ycfJ,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ychE,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yciN,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ydcK,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yebF,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yehL,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yfaP,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ygiV,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,ygiW,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yhbY,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yhcN,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
lrp,yhhA,alpA|basR|btsR|glaR|glrR|nsrR|ptrR|rcdA,False
