cause,effect,nonident_cause
accA,accA,self_loop
accA,accD,two_cycle
accD,accA,two_cycle
accD,accD,self_loop
accB,accB,self_loop
acnB,acnB,self_loop
acrR,acrA,cross_scc_blocked
acrR,acrB,cross_scc_blocked
acrR,acrR,self_loop
acrR,flhC,same_scc_long
acrR,flhD,same_scc_long
acrR,marA,cross_scc_blocked
acrR,marB,cross_scc_blocked
acrR,marR,cross_scc_blocked
acrR,mdtI,cross_scc_blocked
acrR,mdtJ,cross_scc_blocked
acrR,mdtU,cross_scc_blocked
acrR,puuA,cross_scc_blocked
acrR,soxR,same_scc_long
acrR,soxS,same_scc_long
flhC,aceB,cross_scc_blocked
flhC,adhE,cross_scc_blocked
flhC,ccmA,cross_scc_blocked
flhC,ccmB,cross_scc_blocked
flhC,ccmC,cross_scc_blocked
flhC,ccmD,cross_scc_blocked
flhC,ccmE,cross_scc_blocked
flhC,ccmF,cross_scc_blocked
flhC,ccmG,cross_scc_blocked
flhC,ccmH,cross_scc_blocked
flhC,clsC,cross_scc_blocked
flhC,csgC,cross_scc_blocked
flhC,epd,cross_scc_blocked
flhC,flgA,cross_scc_blocked
flhC,flgB,cross_scc_blocked
flhC,flgC,cross_scc_blocked
flhC,flgD,cross_scc_blocked
flhC,flgE,cross_scc_blocked
flhC,flgF,cross_scc_blocked
flhC,flgG,cross_scc_blocked
flhC,flgH,cross_scc_blocked
flhC,flgI,cross_scc_blocked
flhC,flgJ,cross_scc_blocked
flhC,flgM,cross_scc_blocked
flhC,flgN,cross_scc_blocked
flhC,flhA,cross_scc_blocked
flhC,flhB,cross_scc_blocked
flhC,flhE,cross_scc_blocked
flhC,fliA,same_scc_long
flhC,fliD,cross_scc_blocked
flhC,fliE,cross_scc_blocked
flhC,fliF,cross_scc_blocked
flhC,fliG,cross_scc_blocked
flhC,fliH,cross_scc_blocked
flhC,fliI,cross_scc_blocked
flhC,fliJ,cross_scc_blocked
flhC,fliK,cross_scc_blocked
flhC,fliL,cross_scc_blocked
flhC,fliM,cross_scc_blocked
flhC,fliN,cross_scc_blocked
flhC,fliO,cross_scc_blocked
flhC,fliP,cross_scc_blocked
flhC,fliQ,cross_scc_blocked
flhC,fliR,cross_scc_blocked
flhC,fliS,cross_scc_blocked
flhC,fliT,cross_scc_blocked
flhC,fliZ,two_cycle
flhC,fruB,cross_scc_blocked
flhC,glpA,cross_scc_blocked
flhC,glpB,cross_scc_blocked
flhC,glpC,cross_scc_blocked
flhC,gltI,cross_scc_blocked
flhC,gltJ,cross_scc_blocked
flhC,gltK,cross_scc_blocked
flhC,gltL,cross_scc_blocked
flhC,hydN,cross_scc_blocked
flhC,hypF,cross_scc_blocked
flhC,iclR,cross_scc_blocked
flhC,mdh,cross_scc_blocked
flhC,mglA,cross_scc_blocked
flhC,mglB,cross_scc_blocked
flhC,mglC,cross_scc_blocked
flhC,napA,cross_scc_blocked
flhC,napB,cross_scc_blocked
flhC,napC,cross_scc_blocked
flhC,napD,cross_scc_blocked
flhC,napF,cross_scc_blocked
flhC,napG,cross_scc_blocked
flhC,napH,cross_scc_blocked
flhC,nfrB,cross_scc_blocked
flhC,nrfA,cross_scc_blocked
flhC,nrfB,cross_scc_blocked
flhC,nrfC,cross_scc_blocked
flhC,nrfD,cross_scc_blocked
flhC,nrfE,cross_scc_blocked
flhC,nrfF,cross_scc_blocked
flhC,nrfG,cross_scc_blocked
flhC,pdeH,cross_scc_blocked
flhC,pfkA,cross_scc_blocked
flhC,ppdA,cross_scc_blocked
flhC,ppdB,cross_scc_blocked
flhC,ppdC,cross_scc_blocked
flhC,ptsH,cross_scc_blocked
flhC,recC,cross_scc_blocked
flhC,setB,cross_scc_blocked
flhC,tcyJ,cross_scc_blocked
flhC,ycgR,cross_scc_blocked
flhC,yecR,cross_scc_blocked
flhC,ygbK,cross_scc_blocked
flhC,ygdB,cross_scc_blocked
flhC,ymdA,cross_scc_blocked
flhC,ymdB,cross_scc_blocked
flhD,aceB,cross_scc_blocked
flhD,adhE,cross_scc_blocked
flhD,ccmA,cross_scc_blocked
flhD,ccmB,cross_scc_blocked
flhD,ccmC,cross_scc_blocked
flhD,ccmD,cross_scc_blocked
flhD,ccmE,cross_scc_blocked
flhD,ccmF,cross_scc_blocked
flhD,ccmG,cross_scc_blocked
flhD,ccmH,cross_scc_blocked
flhD,clsC,cross_scc_blocked
flhD,csgC,cross_scc_blocked
flhD,epd,cross_scc_blocked
flhD,flgA,cross_scc_blocked
flhD,flgB,cross_scc_blocked
flhD,flgC,cross_scc_blocked
flhD,flgD,cross_scc_blocked
flhD,flgE,cross_scc_blocked
flhD,flgF,cross_scc_blocked
flhD,flgG,cross_scc_blocked
flhD,flgH,cross_scc_blocked
flhD,flgI,cross_scc_blocked
flhD,flgJ,cross_scc_blocked
flhD,flgM,cross_scc_blocked
flhD,flgN,cross_scc_blocked
flhD,flhA,cross_scc_blocked
flhD,flhB,cross_scc_blocked
flhD,flhE,cross_scc_blocked
flhD,fliA,same_scc_long
flhD,fliD,cross_scc_blocked
flhD,fliE,cross_scc_blocked
flhD,fliF,cross_scc_blocked
flhD,fliG,cross_scc_blocked
flhD,fliH,cross_scc_blocked
flhD,fliI,cross_scc_blocked
flhD,fliJ,cross_scc_blocked
