cause,effect,same_scc,recovered,recovered_by_set
accA,accA,True,False,
accA,accD,True,True,1
accD,accA,True,True,1
accD,accD,True,False,
accB,accB,True,False,
acnB,acnB,True,False,
acrR,acrA,False,True,1
acrR,acrB,False,True,1
acrR,acrR,True,False,
acrR,flhC,True,True,1
acrR,flhD,True,True,1
acrR,marA,False,True,1
acrR,marB,False,True,1
acrR,marR,False,True,1
acrR,mdtI,False,True,1
acrR,mdtJ,False,True,1
acrR,mdtU,False,True,1
acrR,puuA,False,True,1
acrR,soxR,True,True,2
acrR,soxS,True,True,2
flhC,aceB,False,True,1
flhC,adhE,False,True,1
flhC,ccmA,False,True,1
flhC,ccmB,False,True,1
flhC,ccmC,False,True,1
flhC,ccmD,False,True,1
flhC,ccmE,False,True,1
flhC,ccmF,False,True,1
flhC,ccmG,False,True,1
flhC,ccmH,False,True,1
flhC,clsC,False,True,1
flhC,csgC,False,True,1
flhC,epd,False,True,1
flhC,flgA,False,True,1
flhC,flgB,False,True,1
flhC,flgC,False,True,1
flhC,flgD,False,True,1
flhC,flgE,False,True,1
flhC,flgF,False,True,1
flhC,flgG,False,True,1
flhC,flgH,False,True,1
flhC,flgI,False,True,1
flhC,flgJ,False,True,1
flhC,flgM,False,True,1
flhC,flgN,False,True,1
flhC,flhA,False,True,1
flhC,flhB,False,True,1
flhC,flhE,False,True,1
flhC,fliA,True,True,2
flhC,fliD,False,True,1
flhC,fliE,False,True,1
flhC,fliF,False,True,1
flhC,fliG,False,True,1
flhC,fliH,False,True,1
flhC,fliI,False,True,1
flhC,fliJ,False,True,1
flhC,fliK,False,True,1
flhC,fliL,False,True,1
flhC,fliM,False,True,1
flhC,fliN,False,True,1
flhC,fliO,False,True,1
flhC,fliP,False,True,1
flhC,fliQ,False,True,1
flhC,fliR,False,True,1
flhC,fliS,False,True,1
flhC,fliT,False,True,1
flhC,fliZ,True,True,2
flhC,fruB,False,True,1
flhC,glpA,False,True,1
flhC,glpB,False,True,1
flhC,glpC,False,True,1
flhC,gltI,False,True,1
flhC,gltJ,False,True,1
flhC,gltK,False,True,1
flhC,gltL,False,True,1
flhC,hydN,False,True,1
flhC,hypF,False,True,1
flhC,iclR,False,True,1
flhC,mdh,False,True,1
flhC,mglA,False,True,1
flhC,mglB,False,True,1
flhC,mglC,False,True,1
flhC,napA,False,True,1
flhC,napB,False,True,1
flhC,napC,False,True,1
flhC,napD,False,True,1
flhC,napF,False,True,1
flhC,napG,False,True,1
flhC,napH,False,True,1
flhC,nfrB,False,True,1
flhC,nrfA,False,True,1
flhC,nrfB,False,True,1
flhC,nrfC,False,True,1
flhC,nrfD,False,True,1
flhC,nrfE,False,True,1
flhC,nrfF,False,True,1
flhC,nrfG,False,True,1
flhC,pdeH,False,True,1
flhC,pfkA,False,True,1
flhC,ppdA,False,True,1
flhC,ppdB,False,True,1
flhC,ppdC,False,True,1
flhC,ptsH,False,True,1
flhC,recC,False,True,1
flhC,setB,False,True,1
flhC,tcyJ,False,True,1
flhC,ycgR,False,True,1
flhC,yecR,False,True,1
flhC,ygbK,False,True,1
flhC,ygdB,False,True,1
flhC,ymdA,False,True,1
flhC,ymdB,False,True,1
flhD,aceB,False,True,1
flhD,adhE,False,True,1
flhD,ccmA,False,True,1
flhD,ccmB,False,True,1
flhD,ccmC,False,True,1
flhD,ccmD,False,True,1
flhD,ccmE,False,True,1
flhD,ccmF,False,True,1
flhD,ccmG,False,True,1
flhD,ccmH,False,True,1
flhD,clsC,False,True,1
flhD,csgC,False,True,1
flhD,epd,False,True,1
flhD,flgA,False,True,1
flhD,flgB,False,True,1
flhD,flgC,False,True,1
flhD,flgD,False,True,1
flhD,flgE,False,True,1
flhD,flgF,False,True,1
flhD,flgG,False,True,1
flhD,flgH,False,True,1
flhD,flgI,False,True,1
flhD,flgJ,False,True,1
flhD,flgM,False,True,1
flhD,flgN,False,True,1
flhD,flhA,False,True,1
flhD,flhB,False,True,1
flhD,flhE,False,True,1
flhD,fliA,True,True,2
flhD,fliD,False,True,1
flhD,fliE,False,True,1
flhD,fliF,False,True,1
flhD,fliG,False,True,1
flhD,fliH,False,True,1
flhD,fliI,False,True,1
flhD,fliJ,False,True,1
flhD,fliK,False,True,1
flhD,fliL,False,True,1
flhD,fliM,False,True,1
flhD,fliN,False,True,1
flhD,fliO,False,True,1
flhD,fliP,False,True,1
flhD,fliQ,False,True,1
flhD,fliR,False,True,1
flhD,fliS,False,True,1
flhD,fliT,False,True,1
flhD,fliZ,True,True,2
flhD,fruB,False,True,1
flhD,glpA,False,True,1
flhD,glpB,False,True,1
flhD,glpC,False,True,1
flhD,gltI,False,True,1
flhD,gltJ,False,True,1
flhD,gltK,False,True,1
flhD,gltL,False,True,1
flhD,hydN,False,True,1
flhD,hypF,False,True,1
flhD,iclR,False,True,1
flhD,mdh,False,True,1
flhD,mglA,False,True,1
flhD,mglB,False,True,1
flhD,mglC,False,True,1
flhD,napA,False,True,1
flhD,napB,False,True,1
flhD,napC,False,True,1
flhD,napD,False,True,1
flhD,napF,False,True,1
flhD,napG,False,True,1
flhD,napH,False,True,1
flhD,nfrB,False,True,1
flhD,nrfA,False,True,1
flhD,nrfB,False,True,1
flhD,nrfC,False,True,1
flhD,nrfD,False,True,1
flhD,nrfE,False,True,1
flhD,nrfF,False,True,1
flhD,nrfG,False,True,1
flhD,pdeH,False,True,1
flhD,pfkA,False,True,1
flhD,ppdA,False,True,1
flhD,ppdB,False,True,1
flhD,ppdC,False,True,1
flhD,ptsH,False,True,1
flhD,recC,False,True,1
flhD,setB,False,True,1
flhD,tcyJ,False,True,1
flhD,ycgR,False,True,1
flhD,yecR,False,True,1
flhD,ygbK,False,True,1
flhD,ygdB,False,True,1
flhD,ymdA,False,True,1
flhD,ymdB,False,True,1
marA,acnA,False,True,1
marA,acrA,False,True,1
marA,acrB,False,True,1
marA,acrZ,False,True,1
marA,aldA,False,True,1
marA,dapD,False,True,1
marA,fumC,False,True,1
marA,glnD,False,True,1
marA,inaA,False,True,1
marA,map,False,True,1
marA,marA,True,False,
marA,marB,False,True,1
marA,marR,True,True,4
marA,mdaB,False,True,1
marA,nfo,False,True,1
marA,nfsA,False,True,1
marA,nfsB,False,True,1
marA,rimK,False,True,1
marA,rob,True,True,1
marA,sodA,False,True,1
marA,tolC,False,True,1
marA,ybjC,False,True,1
marA,ybjN,False,True,1
marA,ygiB,False,True,1
marA,ygiC,False,True,1
marA,yhbW,False,True,1
marA,zwf,False,True,1
marR,marA,True,True,1
marR,marB,False,True,1
marR,marR,True,False,
soxR,aroF,False,True,1
soxR,fumC,False,True,1
soxR,sodA,False,True,1
soxR,soxR,True,False,
soxR,soxS,True,True,1
soxR,tyrA,False,True,1
soxR,yjcB,False,True,1
soxR,yrbL,False,True,1
soxS,acnA,False,True,1
soxS,acrA,False,True,1
soxS,acrB,False,True,1
soxS,acrZ,False,True,1
soxS,aldA,False,True,1
soxS,cadA,False,True,1
soxS,dapD,False,True,1
soxS,decR,False,True,1
soxS,fldB,False,True,1
soxS,fpr,False,True,1
soxS,fumC,False,True,1
soxS,fur,True,True,1
soxS,glnD,False,True,1
soxS,inaA,False,True,1
soxS,map,False,True,1
soxS,marA,False,True,1
soxS,marB,False,True,1
soxS,marR,False,True,1
soxS,mdaB,False,True,1
soxS,nfo,False,True,1
soxS,nfsA,False,True,1
soxS,nfsB,False,True,1
soxS,ompN,False,True,1
soxS,ompW,False,True,1
soxS,pgi,False,True,1
soxS,poxB,False,True,1
soxS,pqiA,False,True,1
soxS,pqiB,False,True,1
soxS,pqiC,False,True,1
soxS,ptsG,False,True,1
soxS,ribA,False,True,1
soxS,rimK,False,True,1
soxS,rob,False,True,1
soxS,sodA,False,True,1
soxS,soxS,True,False,
soxS,tolC,False,True,1
soxS,uof,False,True,1
soxS,waaY,False,True,1
soxS,waaZ,False,True,1
soxS,ybjC,False,True,1
soxS,ybjN,False,True,1
soxS,ydbK,False,True,1
soxS,ygiB,False,True,1
soxS,ygiC,False,True,1
soxS,yhbW,False,True,1
soxS,yrbL,False,True,1
soxS,zinT,False,True,1
soxS,zwf,False,True,1
ada,ada,True,False,
aidB,aidB,True,False,
adiY,adiA,False,True,1
adiY,gadA,False,True,1
adiY,gadB,False,True,1
adiY,gadC,False,True,1
adiY,gadX,True,True,1
adiY,gltB,False,True,1
adiY,gltD,False,True,1
adiY,gltF,False,True,1
gadX,amtB,False,True,1
gadX,asnB,False,True,1
gadX,btuB,False,True,1
gadX,cadA,False,True,1
gadX,cadB,False,True,1
gadX,dctR,False,True,1
gadX,dtpA,False,True,1
gadX,gadA,False,True,1
gadX,gadB,False,True,1
gadX,gadC,False,True,1
gadX,gadE,True,True,1
gadX,gadW,True,True,1
gadX,gadX,True,False,
gadX,glnK,False,True,1
gadX,glsA,False,True,1
gadX,hdeA,False,True,1
gadX,hdeB,False,True,1
gadX,hdeD,False,True,1
gadX,hns,True,True,1
gadX,lon,False,True,1
gadX,mdtE,False,True,1
gadX,mdtF,False,True,1
gadX,murI,False,True,1
gadX,rpoS,True,True,1
gadX,slp,False,True,1
gadX,speG,False,True,1
gadX,uspE,False,True,1
gadX,ybaT,False,True,1
gadX,ydeM,False,True,1
gadX,ydeN,False,True,1
gadX,yhiD,False,True,1
gadX,ynfB,False,True,1
lrp,thrV,False,True,1
lrp,topA,False,True,1
lrp,treA,False,True,1
lrp,trxB,False,True,1
lrp,tyrP,False,True,1
lrp,tyrR,False,True,1
lrp,ubiA,False,True,1
lrp,upp,False,True,1
lrp,uspE,False,True,1
lrp,wecB,False,True,1
lrp,yaeQ,False,True,1
lrp,yagU,False,True,1
