cause,effect,nonident_cause,rescue_nodes,n_rescue_nodes
accA,accA,self_loop,,0
accA,accD,two_cycle,accA,1
acrR,flhD,same_scc_long,acrR,1
flhC,ppdB,cross_scc_blocked,flhC|fliZ,2
crp,csgE,cross_scc_blocked,crp,1
crp,csgF,cross_scc_blocked,crp,1
crp,csgG,cross_scc_blocked,crp,1
crp,csiE,cross_scc_blocked,crp,1
crp,cspD,cross_scc_blocked,crp,1
crp,cspE,cross_scc_blocked,crp,1
crp,csqR,cross_scc_blocked,crp|rpoD,2
crp,cstA,cross_scc_blocked,crp|rpoD,2
crp,cyaA,cross_scc_blocked,crp|rpoD,2
crp,cycA,cross_scc_blocked,crp,1
flhC,ppdC,cross_scc_blocked,flhC|fliZ,2
crp,cyoA,cross_scc_blocked,crp,1
crp,cyoB,cross_scc_blocked,crp,1
crp,cyoC,cross_scc_blocked,crp,1
crp,cyoD,cross_scc_blocked,crp,1
crp,cyoE,cross_scc_blocked,crp,1
crp,cysG,cross_scc_blocked,crp,1
crp,cytR,same_scc_long,crp,1
crp,dadA,cross_scc_blocked,crp,1
crp,dadX,cross_scc_blocked,crp,1
crp,dctA,cross_scc_blocked,crp,1
flhC,ptsH,cross_scc_blocked,flhC|fliZ,2
crp,dcuA,cross_scc_blocked,crp,1
crp,dcuB,cross_scc_blocked,crp,1
crp,dcuR,cross_scc_blocked,crp,1
crp,deoA,cross_scc_blocked,crp,1
crp,deoB,cross_scc_blocked,crp,1
crp,deoC,cross_scc_blocked,crp,1
crp,deoD,cross_scc_blocked,crp,1
crp,dgoA,cross_scc_blocked,crp|rpoD,2
crp,dgoD,cross_scc_blocked,crp|rpoD,2
crp,dgoK,cross_scc_blocked,crp|rpoD,2
flhC,recC,cross_scc_blocked,flhC|fliZ,2
crp,dgoR,cross_scc_blocked,crp|rpoD,2
crp,dgoT,cross_scc_blocked,crp|rpoD,2
crp,dksA,same_scc_long,crp,1
crp,dpiA,cross_scc_blocked,crp,1
crp,dpiB,cross_scc_blocked,crp,1
crp,dsdA,cross_scc_blocked,crp|rpoD,2
crp,dsdX,cross_scc_blocked,crp|rpoD,2
crp,dusB,cross_scc_blocked,crp,1
crp,ebgA,cross_scc_blocked,crp|rpoD,2
crp,ebgC,cross_scc_blocked,crp,1
flhC,setB,cross_scc_blocked,flhC|flhD|fliZ,3
crp,entA,cross_scc_blocked,crp,1
crp,entB,cross_scc_blocked,crp,1
crp,entC,cross_scc_blocked,crp,1
crp,entD,cross_scc_blocked,crp,1
crp,entE,cross_scc_blocked,crp,1
crp,entF,cross_scc_blocked,crp,1
crp,entH,cross_scc_blocked,crp,1
crp,envZ,cross_scc_blocked,crp,1
crp,epd,cross_scc_blocked,crp,1
crp,exuR,cross_scc_blocked,crp,1
flhC,tcyJ,cross_scc_blocked,flhC|fliZ,2
crp,exuT,cross_scc_blocked,crp,1
crp,fadD,cross_scc_blocked,crp,1
crp,fadH,cross_scc_blocked,crp,1
crp,fadL,cross_scc_blocked,crp,1
crp,fbaA,cross_scc_blocked,crp,1
crp,feaB,cross_scc_blocked,crp,1
crp,feaR,cross_scc_blocked,crp,1
crp,fecA,cross_scc_blocked,crp,1
crp,fecB,cross_scc_blocked,crp,1
crp,fecC,cross_scc_blocked,crp,1
flhC,ycgR,cross_scc_blocked,flhC|fliZ,2
crp,fecD,cross_scc_blocked,crp,1
crp,fecE,cross_scc_blocked,crp,1
crp,fepA,cross_scc_blocked,crp,1
crp,fis,two_cycle,crp,1
crp,fiu,cross_scc_blocked,crp,1
crp,fixA,cross_scc_blocked,crp,1
crp,fixB,cross_scc_blocked,crp,1
crp,fixC,cross_scc_blocked,crp,1
crp,fixX,cross_scc_blocked,crp,1
crp,flhC,same_scc_long,crp,1
flhC,yecR,cross_scc_blocked,flhC|fliZ,2
crp,flhD,same_scc_long,crp,1
crp,focA,cross_scc_blocked,crp,1
crp,focB,cross_scc_blocked,crp,1
crp,frlA,cross_scc_blocked,crp|rpoD,2
crp,frlB,cross_scc_blocked,crp|rpoD,2
crp,frlC,cross_scc_blocked,crp|rpoD,2
crp,frlD,cross_scc_blocked,crp|rpoD,2
crp,frlR,cross_scc_blocked,crp|rpoD,2
crp,fucA,cross_scc_blocked,crp,1
crp,fucI,cross_scc_blocked,crp,1
flhC,ygbK,cross_scc_blocked,flhC|fliZ,2
crp,fucK,cross_scc_blocked,crp,1
crp,fucO,cross_scc_blocked,crp,1
crp,fucP,cross_scc_blocked,crp,1
crp,fucR,cross_scc_blocked,crp,1
crp,fucU,cross_scc_blocked,crp,1
crp,fumA,cross_scc_blocked,crp,1
crp,fumB,cross_scc_blocked,crp,1
crp,fumC,cross_scc_blocked,crp,1
crp,fur,same_scc_long,crp,1
crp,gabD,cross_scc_blocked,crp,1
flhC,ygdB,cross_scc_blocked,flhC|fliZ,2
crp,gabP,cross_scc_blocked,crp,1
crp,gabT,cross_scc_blocked,crp,1
crp,gadA,cross_scc_blocked,crp,1
crp,gadB,cross_scc_blocked,crp,1
crp,gadC,cross_scc_blocked,crp,1
crp,gadE,same_scc_long,crp,1
crp,gadX,same_scc_long,crp,1
crp,galE,cross_scc_blocked,crp,1
crp,galK,cross_scc_blocked,crp,1
crp,galM,cross_scc_blocked,crp,1
acrR,marA,cross_scc_blocked,acrR,1
flhC,ymdA,cross_scc_blocked,flhC|fliZ,2
crp,galP,cross_scc_blocked,crp,1
crp,galS,cross_scc_blocked,crp|rpoD,2
crp,galT,cross_scc_blocked,crp,1
crp,gapA,cross_scc_blocked,crp,1
crp,gatA,cross_scc_blocked,crp,1
crp,gatB,cross_scc_blocked,crp,1
crp,gatC,cross_scc_blocked,crp,1
crp,gatD,cross_scc_blocked,crp,1
crp,gatY,cross_scc_blocked,crp,1
crp,gatZ,cross_scc_blocked,crp,1
flhC,ymdB,cross_scc_blocked,flhC|flhD|fliZ,3
crp,gcd,cross_scc_blocked,crp,1
crp,gcvH,cross_scc_blocked,crp,1
crp,gcvP,cross_scc_blocked,crp,1
crp,gcvT,cross_scc_blocked,crp,1
crp,gdhA,cross_scc_blocked,crp,1
crp,glaH,cross_scc_blocked,crp,1
crp,glcC,cross_scc_blocked,crp,1
