candidate_tf,coverage_count,cycle_score,coverage_rank,cycle_rank
yjjQ,0,67,8,1
ydiP,0,67,8,1
ydeO,0,67,8,1
stpA,0,67,8,1
cra,0,67,8,1
cpxR,0,67,8,1
sutR,0,67,8,1
argP,0,67,8,1
argR,0,67,8,1
torR,0,67,8,1
arcA,0,67,8,1
slyA,1,67,3,1
sdiA,0,67,8,1
rutR,0,67,8,1
rstA,0,67,8,1
bolA,0,67,8,1
rpoE,0,67,8,1
deaD,0,67,8,1
bglJ,0,67,8,1
soxS,0,67,8,1
soxR,0,67,8,1
cytR,0,67,8,1
rpoD,5,67,1,1
rpoH,1,67,3,1
rpoN,0,67,8,1
phoB,0,67,8,1
rcsB,0,67,8,1
rcsA,0,67,8,1
qseB,0,67,8,1
rpsA,0,67,8,1
rpoS,1,67,3,1
acrR,0,67,8,1
adiY,0,67,8,1
glnG,0,67,8,1
ihfB,0,67,8,1
ihfA,0,67,8,1
fnr,0,67,8,1
oxyR,0,67,8,1
ompR,0,67,8,1
crp,0,67,8,1
evgA,0,67,8,1
phoP,0,67,8,1
matA,0,67,8,1
nac,0,67,8,1
csrA,0,67,8,1
cspA,0,67,8,1
csgD,0,67,8,1
mqsA,0,67,8,1
mlrA,0,67,8,1
dksA,0,67,8,1
dnaA,1,67,3,1
leuO,0,67,8,1
fur,0,67,8,1
gadW,0,67,8,1
gadE,0,67,8,1
hns,0,67,8,1
flhC,0,67,8,1
fis,0,67,8,1
hdfR,0,67,8,1
lrp,2,67,2,1
lrhA,0,67,8,1
lldR,0,67,8,1
lexA,0,67,8,1
flhD,0,67,8,1
zraR,0,67,8,1
gadX,0,67,8,1
fliA,0,67,8,1
fliZ,0,67,8,1
rob,0,2,8,69
marR,0,2,8,69
marA,0,2,8,69
rpsR,0,1,8,72
yoeB,0,1,8,72
yefM,0,1,8,72
rpsF,0,1,8,72
srlR,0,1,8,72
relE,0,1,8,72
rhaS,0,1,8,72
exuR,1,1,3,72
dinJ,0,1,8,72
mazF,0,1,8,72
mazE,0,1,8,72
relB,0,1,8,72
rhaR,0,1,8,72
higA,0,1,8,72
gutM,0,1,8,72
higB,0,1,8,72
hipB,0,1,8,72
hipA,0,1,8,72
galS,0,1,8,72
galR,0,1,8,72
yafQ,0,1,8,72
uxuR,0,1,8,72
accD,0,1,8,72
accA,0,1,8,72
aaeR,0,0,8,96
accB,0,0,8,96
acnB,0,0,8,96
ada,0,0,8,96
agaR,0,0,8,96
aidB,0,0,8,96
bglG,0,0,8,96
betI,0,0,8,96
basR,0,0,8,96
baeR,0,0,8,96
atoC,0,0,8,96
asnC,0,0,8,96
yciT,0,0,8,96
yafC,0,0,8,96
xynR,0,0,8,96
xylR,0,0,8,96
xapR,0,0,8,96
uvrY,0,0,8,96
ulaR,0,0,8,96
uidR,0,0,8,96
allS,0,0,8,96
zntR,0,0,8,96
yrdG,0,0,8,96
yqhC,0,0,8,96
zur,0,0,8,96
glrR,0,0,8,96
glpR,0,0,8,96
glcC,0,0,8,96
glaR,0,0,8,96
gcvA,0,0,8,96
gatR,0,0,8,96
ilvY,0,0,8,96
idnR,0,0,8,96
iclR,0,0,8,96
ibpA,0,0,8,96
fimZ,0,0,8,96
fhlA,0,0,8,96
