adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,8736,0.03672841177775317,0.06199956356726247,0.013309728153521452,1.0894422375880592,1.0259597551657669
2,14028,0.03167546593828614,0.052496793544838376,0.010197429356672212,1.0831400466082377,1.0259847828726458
3,17136,0.031154386456361496,0.04986584814180107,0.00941461013177054,1.0799110444475963,1.0305601695033362
4,15960,0.03243105731434704,0.054602991138920344,0.007847988761170084,1.052245505690926,1.0233941019077095
5,13944,0.03628705518737879,0.06114251431528177,0.010235673175352655,1.0458473118137959,1.021007303549094
6,11508,0.03549506058292518,0.061337360423937254,0.008067608570677657,1.0297917981206504,1.0154777927570908
7,23940,0.08081713063891012,0.13646559199406494,0.05598142251965474,1.967505059248591,1.1908957048348872
8,75542,0.04451432583747597,0.06946833665765319,0.029719308779228768,1.129423750105321,1.027944245909472
9,11844,0.033886716950554466,0.057452978961486115,0.008254180009342187,1.0432083994401962,1.0080290701566617
10,4032,0.035411739190041945,0.06287780899028438,-0.0013573164227229117,1.0023384904354777,1.001872272396343
11,4284,0.03566804897633325,0.06530534941881867,-0.000836757404971461,1.0011864512275928,1.0043847090211055
12,1428,0.039843006083473964,0.07081318463686141,0.009461424729904553,1.027966823672027,1.0082238760772184
13,672,0.033606792534544336,0.05717292318104058,0.0001773385843122688,0.9999936619267922,1.002075273126513
14,1176,0.034123475735441985,0.0653410461757061,0.003661528275443566,0.9934646111303213,0.998207863975059
15,420,0.03496363045025828,0.0641698959264383,0.008157920811814122,0.996952232632006,0.9962880394737296
16,168,0.030013368586589772,0.06171730000511602,0.003948470514817425,1.0012770610380384,1.0055555892143735
17,252,0.03560167888266212,0.06158788233081923,-0.0028170921164612814,0.9967534404899913,0.9970273546525992
19,252,0.030023468355500283,0.05260751369140394,0.009641429951242468,1.0022174718813883,0.9991688750265992
