missing_data_mechanism,missing_data_rate,missing_edge_rate,n_samples,n,residual_mean,residual_median,residual_std
biological_error,0.0,0.0,100,2533,1.039896242892813,1.0566992012284913,0.2808858611641191
biological_error,0.0,0.0,500,2533,1.0200244225887838,1.0800271459557669,0.25946660478212924
biological_error,0.0,0.0,1000,2533,1.0388069744345418,1.0893802066320812,0.2349076303561016
biological_error,0.0,0.0,5000,2533,1.0153840052641296,1.0924613787895117,0.24889314610193156
biological_error,0.0,0.0,10000,911,1.0252255107102763,1.099146649210611,0.23967068877801817
biological_error,0.0,0.0,50000,2533,1.3304250136576141,1.3161649285233932,0.4384389036389732
biological_error,0.0,0.0,100000,2533,1.323403906306281,1.3096912396996605,0.3700633049170647
biological_error,0.0,0.2,100,2533,1.0770951123381347,1.0858495125590413,0.3236189584122615
biological_error,0.0,0.2,500,2533,1.068185700517402,1.1075718754116253,0.2622954101963039
biological_error,0.0,0.2,1000,2533,1.0668171637122856,1.1068287304176756,0.26835847933408696
biological_error,0.0,0.2,5000,2533,1.052722767166869,1.11215666048067,0.2858481145030057
biological_error,0.0,0.2,10000,749,1.073049109158409,1.1188377144178978,0.2554750488958544
biological_error,0.0,0.2,50000,2533,1.3823713487587312,1.3477841298223336,0.5768717890263232
biological_error,0.0,0.2,100000,2533,1.3443089289543333,1.3417079640990568,0.48891176317604645
biological_error,0.0,0.4,100,2533,1.2209423678845683,1.1631548101124236,0.6009671096954738
biological_error,0.0,0.4,500,2533,1.2621560968685113,1.2030860681032496,0.6124634443382091
biological_error,0.0,0.4,1000,2533,1.2196205485472462,1.1748623829305729,0.5085137017303117
biological_error,0.0,0.4,5000,2533,1.179322466577319,1.1531495801557106,0.5401725231933872
biological_error,0.0,0.4,10000,756,1.2154249762207778,1.162287301635859,0.47920784522852305
biological_error,0.0,0.4,50000,2533,1.4622406087070503,1.3924843522423858,0.48273778539469403
biological_error,0.0,0.4,100000,2533,1.4555109599688663,1.3917692263543342,0.4998106846752669
biological_error,0.2,0.0,100,2533,3.330903322642356,2.742928393327282,2.4471658800630927
biological_error,0.2,0.0,500,2533,3.2225441179523533,2.637940958724715,2.484141109576666
biological_error,0.2,0.0,1000,2533,3.365718357119971,2.7958271506002803,2.363203566734291
biological_error,0.2,0.0,5000,2533,3.0896198347203003,2.5563224382087775,2.2988863607980763
biological_error,0.2,0.0,10000,888,3.2619307522735586,2.6959635231177392,2.3398684716044027
biological_error,0.2,0.0,50000,2533,5.999328706464649,4.640582701608524,4.8295216648338375
biological_error,0.2,0.0,100000,2533,6.472295275361295,5.296965855080885,4.859916506718587
biological_error,0.2,0.2,100,2533,3.4949765475688137,2.906642843601416,2.537643878145521
biological_error,0.2,0.2,500,2533,3.5059939193761753,2.972871626429694,2.439859003405368
biological_error,0.2,0.2,1000,2533,3.2936353216758554,2.80492574594404,2.3576671231298176
biological_error,0.2,0.2,5000,2533,3.198383517294116,2.644433077970927,2.4833324777783026
biological_error,0.2,0.2,10000,723,3.5096969696179574,3.0098039219191346,2.413291499671997
biological_error,0.2,0.2,50000,2533,6.178290723695367,4.907371898270436,4.906000778993853
biological_error,0.2,0.2,100000,2533,5.557438830884765,4.350953143608546,4.8308137098086865
biological_error,0.2,0.4,100,2533,3.645879601272702,3.0869621639289613,2.649451116529174
biological_error,0.2,0.4,500,2533,3.4932612871324915,2.990757315180053,2.422649758859015
