adjustment_set_size,n,MAE,RMSE,bias,residual_mean,residual_median
1,624,0.004049692187074621,0.006414922845443927,0.0003360655128126623,1.0016763701169051,1.000515254349104
2,1002,0.004884398594714175,0.009606925838488743,0.000280931760352833,1.0042473554986864,1.000743476164578
3,1224,0.005574780548142373,0.011188292146259526,-0.000648710823526123,0.9957596229245189,1.000154499553935
4,1140,0.006356095452780005,0.01451108755021189,0.0029618040621186142,0.997045988048909,1.0003171359686829
5,996,0.014141050291736464,0.030060834554483162,0.0004780612694179744,1.0162420883796082,1.0015989954637683
6,822,0.008035153399118658,0.01502425915321938,0.0007878495519144386,1.0054949436668383,1.0008769564925448
7,1710,0.010703976377250398,0.019474531107382505,0.0021488098678526203,1.1841528729337072,1.032662746816382
8,5394,0.005742027358928407,0.012209996988609426,-0.0007973663332264529,1.0042039388058994,1.0004175126759953
9,846,0.0055079887770274364,0.011203692349719671,0.003434139501063678,1.0155204600696606,1.0007816928640225
10,288,0.003286129216824455,0.004207384825179801,0.0011335054030082138,1.000686293658958,1.000522958691418
11,306,0.005361732314408864,0.01010563583793034,0.0020106881289134043,1.0035353280626826,1.0002559003862843
12,102,0.021069048162887915,0.034374314869706345,0.01531672461723299,0.9970779829900945,1.002212287842731
13,48,0.008303039720556309,0.016040190006099884,0.007870317730488536,1.0027997908641035,1.0005646366791958
14,84,0.004013091293355704,0.004735158023410938,-0.000428376747610674,1.0001570806623943,1.000262609785695
15,30,0.0020420366972514065,0.002476652894498557,0.0007401418108946816,0.9972082678504218,0.9979195673820422
16,12,0.0035495418338289363,0.003962135631650501,-0.0018348092426180007,0.9942480305870283,0.9944943078472441
17,18,0.0028028069201884147,0.0031437000193970917,-0.0028028069201884147,0.998680289860686,0.9996302546536122
19,18,0.002541682216734465,0.0029076760218321247,0.0023549035233639726,1.0000268566107033,0.998066155893655
