experiment_id,design_mode,seed_schema_version,scm_replicate_id,data_replicate_id,parameter_condition_id,target_effect_id,pairing_scope,sample_parent_id,sample_selection_rule,run_status,trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error,intervention_id,intervention_set_index,intervention_genes,intervention_n_genes,intervention_semantics,target_removed,target_present_in_intervened_graph,recovery_status
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,aaeR->aaeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,aaeR,aaeA,False,identifiable,crp,500,0.03449012442736328,0.046025043621301664,1.0096247489107015,0.7493773327224028,0.09136083378380261,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,aaeR->aaeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,aaeR,aaeB,False,identifiable,crp,500,0.1775385191034884,0.050372875447429584,1.209386329884883,3.524486492512664,0.23425431595574991,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,aaeR->aaeX,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,aaeR,aaeX,False,identifiable,crp,500,0.128790507113341,0.04583250117699764,1.0011950340549038,2.8100257198701217,0.12890444495079764,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,accB->accC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,accB,accC,False,identifiable,fadR|rpoD,500,-0.16421461447414393,0.05359234565756313,0.9768801768251741,-3.064143068553474,-0.15865914514722848,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->ariR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,ariR,False,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,500,0.10509039701337083,0.03591637738830938,0.9936649709915399,2.925974295157543,0.08663955026268437,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->dctR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,dctR,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,500,-0.11646273537852982,0.034700811700975005,0.9020369459649874,-3.3561962867645976,-0.08684249256458253,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->decR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,decR,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,500,0.2555864175654967,0.03425094751647152,0.9051835206760046,7.462170716374588,0.28425719433768626,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->fpr,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,fpr,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,500,0.2218135141915411,0.037835198294603696,1.104545185816771,5.862623276463113,0.2706926198223171,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->hdeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,hdeA,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,500,-0.16438134996050302,0.03792250407252066,1.0750036714310054,-4.334664969542894,-0.13269486455133045,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,aed78c54917fc55a,marA->hdeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,500,0.2,0.0,biological_error,2151398048,921666314,2151398048,marA,hdeB,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,500,-0.29058647422224165,0.035907103025592246,0.9637772482897236,-8.092729564262829,-0.30074370893587604,1755,,,,[],0,,False,True,
