experiment_id,design_mode,seed_schema_version,scm_replicate_id,data_replicate_id,parameter_condition_id,target_effect_id,pairing_scope,sample_parent_id,sample_selection_rule,run_status,trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error,intervention_id,intervention_set_index,intervention_genes,intervention_n_genes,intervention_semantics,target_removed,target_present_in_intervened_graph,recovery_status
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,aaeR->aaeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeA,False,identifiable,crp,100000,0.005158045814427733,0.0033474427106750205,0.05510337906942255,1.5408914387029493,0.09136083378380261,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,aaeR->aaeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeB,False,identifiable,crp,100000,0.012444655586721441,0.0036874064128721903,0.06686424402170343,3.374907507694023,0.23425431595574991,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,aaeR->aaeX,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeX,False,identifiable,crp,100000,0.003455846431206026,0.003306908785808753,0.053776973547857564,1.0450383288575793,0.12890444495079764,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,accB->accC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,accB,accC,False,identifiable,fadR|rpoD,100000,-0.0025313889401442254,0.003832638159713318,0.05670788773291036,-0.660482110404488,-0.15865914514722848,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->ariR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,ariR,False,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,100000,0.002419575477356081,0.002108013028970611,0.06275450176161079,1.1477991094474465,0.08663955026268437,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->dctR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,dctR,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,100000,0.004905450079973157,0.002535281952987468,0.09076503591593127,1.9348735844519322,-0.08684249256458253,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->decR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,decR,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.01629356535031107,0.002388274986215276,0.08057902936562145,6.822315455445796,0.28425719433768626,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->fpr,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,fpr,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.014741747939049452,0.0022649250921807406,0.07247046666934157,6.508713241750365,0.2706926198223171,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->hdeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeA,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,100000,-0.004390141324744097,0.00392925304291316,0.21796499301307629,-1.1172966660068382,-0.13269486455133045,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->hdeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeB,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,100000,-0.006169819517875695,0.0032765942673977436,0.15156959346414792,-1.8829977148118915,-0.30074370893587604,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->lacA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,lacA,False,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,100000,-0.02850120014462993,0.002509664139918874,0.08896021214613159,-11.356579428812035,-0.5624259003990886,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->lacY,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,lacY,False,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,100000,-0.010316544023531476,0.0022289765007977042,0.0701738944664688,-4.628377203545843,-0.3022369821528784,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->lacZ,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,lacZ,False,identifiable,acrR|cpxR|cra|crp|fis|hns|lacI|nac|ompR|rpoD|soxS,100000,-0.0058987338712754986,0.0023958720744115453,0.08107591350014373,-2.4620404128731694,-0.22345879114090772,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->mlaB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,mlaB,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.009743154888003883,0.001939512869487535,0.05314209885519241,5.023506181002168,0.16614743535709076,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->mlaC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,mlaC,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.010525786399159177,0.0023398086800503226,0.07734176291791345,4.498567121707061,0.18915356734741418,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->mlaD,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,mlaD,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.009771650668628229,0.0019928951765840128,0.056107676416449585,4.903243674550734,0.17478528555641273,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->mlaE,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,mlaE,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.01353652413244614,0.0019879178059073184,0.055827762087024814,6.809398302193811,0.15903820351462275,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->mlaF,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,mlaF,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,100000,0.018941881206843807,0.0022580093638640687,0.07202857929852172,8.388752283307227,0.40331616963312067,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->poxB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,poxB,False,identifiable,acrR|cpxR|cra|crp|fis|fnr|nac|narL|narP|nsrR|ompR|oxyR|rpoD|rpoS|soxS,100000,0.01308716876546754,0.0025401610642277503,0.09113211932765622,5.152101947301617,0.20147199163079718,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,2e8f3824e5d06abf,marA->pqiA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,100000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,pqiA,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|rpoS|soxS,100000,0.012574620889785107,0.002163761880058441,0.06613452235048178,5.811462437560587,0.16322518077939543,1755,,,,[],0,,False,True,
