experiment_id,design_mode,seed_schema_version,scm_replicate_id,data_replicate_id,parameter_condition_id,target_effect_id,pairing_scope,sample_parent_id,sample_selection_rule,run_status,trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error,intervention_id,intervention_set_index,intervention_genes,intervention_n_genes,intervention_semantics,target_removed,target_present_in_intervened_graph,recovery_status
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,aaeR->aaeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeA,False,identifiable,crp,10000,-0.0010843127539590994,0.010491182658641074,0.05788674859355076,-0.10335467308502193,0.09136083378380261,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,aaeR->aaeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeB,False,identifiable,crp,10000,0.04349839270175973,0.011217203004987051,0.06617583334252654,3.87782878516336,0.23425431595574991,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,aaeR->aaeX,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeX,False,identifiable,crp,10000,-0.009289326794337506,0.010574268505525597,0.05880725767104225,-0.8784841040761692,0.12890444495079764,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,accB->accC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,accB,accC,False,identifiable,fadR|rpoD,10000,-0.010595198886734143,0.011878517589028519,0.051738538658081513,-0.8919630591379769,-0.15865914514722848,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->ariR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,ariR,False,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,10000,0.004342240383602472,0.006982021107300297,0.060068839926245385,0.6219173956753425,0.08663955026268437,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->dctR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,dctR,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,10000,0.007368842596779801,0.008330332357484184,0.08548781283812368,0.8845796638785299,-0.08684249256458253,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->decR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,decR,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,10000,0.011792853542783463,0.007951578090557196,0.07795623107146853,1.4830834091647704,0.28425719433768626,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->fpr,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,fpr,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,10000,0.00504123368550439,0.007533171446880019,0.06996806777224321,0.6692046930104446,0.2706926198223171,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->hdeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeA,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,10000,0.007588648749986758,0.012932679960300225,0.20598005681946774,0.5867808353165643,-0.13269486455133045,1755,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,1690585f0bd6faaa,marA->hdeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,10000,0.2,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeB,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,10000,-0.019475223795714508,0.01069780490353746,0.1409410360234013,-1.8204878450601212,-0.30074370893587604,1755,,,,[],0,,False,True,
