experiment_id,design_mode,seed_schema_version,scm_replicate_id,data_replicate_id,parameter_condition_id,target_effect_id,pairing_scope,sample_parent_id,sample_selection_rule,run_status,trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error,intervention_id,intervention_set_index,intervention_genes,intervention_n_genes,intervention_semantics,target_removed,target_present_in_intervened_graph,recovery_status
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,aaeR->aaeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,aaeR,aaeA,False,identifiable,crp,50000,0.06690994388155642,0.004428913656144066,0.3906370679248316,15.10752953802447,0.11955212001870702,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,aaeR->aaeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,aaeR,aaeB,False,identifiable,crp,50000,0.1671014007720648,0.004737346799948554,0.4469401615674157,35.27320414327266,0.2312857941620756,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,aaeR->aaeX,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,aaeR,aaeX,False,identifiable,crp,50000,0.06030097495809469,0.004386089219415913,0.3831192268250119,13.748232637667334,0.09823687643260551,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,accB->accC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,accB,accC,False,identifiable,fadR|rpoD,50000,-0.04081772053870529,0.0069118345189958935,0.4089095934618467,-5.905482896982757,-0.107398769538482,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->ariR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,ariR,False,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,50000,0.12450810574256901,0.003090620592545008,0.42714283825928595,40.2857943944654,0.17200956932866385,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->dctR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,dctR,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,50000,-0.09389503078649736,0.0032525668053693256,0.475661500354008,-28.86797917001913,-0.16389032103389392,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->decR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,decR,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,0.18862730003026407,0.0030450654229791335,0.41830980479759056,61.94523723753723,0.24365204224418105,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->fpr,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,fpr,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,0.0815225433840492,0.003165297806385307,0.4519953240753445,25.755094266199855,0.10740295340237402,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->hdeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,hdeA,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,50000,-0.2037425714178035,0.004006363407359621,0.7164694090726909,-50.85474049696338,-0.3908990670054521,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,041409713a54cc8f,marA->hdeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.99,instrument_error,2151398048,921666314,2151398048,marA,hdeB,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,50000,-0.1231546190138241,0.0035357055514575754,0.558019212585269,-34.83169546260838,-0.21396973052620727,3575,,,,[],0,,False,True,
