experiment_id,design_mode,seed_schema_version,scm_replicate_id,data_replicate_id,parameter_condition_id,target_effect_id,pairing_scope,sample_parent_id,sample_selection_rule,run_status,trial,n_samples,missing_edge_rate,missing_data_rate,missing_data_mechanism,seed,scm_seed,data_seed,cause,effect,same_scc,status,adjustment_set,n_rows_used,estimated_path_coefficient,stderr,residual_variance,t_value,ground_truth_beta,scm_true_missing_edges_count,error,intervention_id,intervention_set_index,intervention_genes,intervention_n_genes,intervention_semantics,target_removed,target_present_in_intervened_graph,recovery_status
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,aaeR->aaeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeA,False,identifiable,crp,50000,0.004278375457599904,0.00442213112542,0.0535101629320592,0.9674917672626809,0.11955212001870702,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,aaeR->aaeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeB,False,identifiable,crp,50000,0.010014364921781257,0.004821554191800409,0.06361318577235235,2.0769993498801282,0.2312857941620756,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,aaeR->aaeX,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,aaeR,aaeX,False,identifiable,crp,50000,-0.008171392448199187,0.004371196846872092,0.05228459758784004,-1.86937187558744,0.09823687643260551,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,accB->accC,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,accB,accC,False,identifiable,fadR|rpoD,50000,-0.001257555074909184,0.0067922140903290485,0.05613880999151631,-0.1851465601915769,-0.107398769538482,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->ariR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,ariR,False,identifiable,acrR|bluR|cpxR|cra|crp|cysB|fis|nac|ompR|rpoD|rpoS|soxS,50000,0.0052930962927564785,0.0032221800947005446,0.0638529149601867,1.6427065332139343,0.17200956932866385,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->dctR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,dctR,False,identifiable,acrR|cpxR|cra|crp|fis|gadE|gadW|gadX|glaR|hns|nac|ompR|rcsB|rpoD|soxS|ydeO,50000,-0.00762332539598449,0.0034433642900457482,0.0729241793899354,-2.2139177716462894,-0.16389032103389392,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->decR,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,decR,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,0.011217931401361191,0.0031580075332909353,0.06134404841497229,3.552218062529785,0.24365204224418105,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->fpr,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,fpr,False,identifiable,acrR|cpxR|cra|crp|fis|nac|ompR|rpoD|soxS,50000,0.011150479118053936,0.003354891049459142,0.06923137426064473,3.3236486531661162,0.10740295340237402,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->hdeA,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeA,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,50000,-0.027802826853547184,0.004802614333702847,0.1418490483170888,-5.789102543262312,-0.3908990670054521,3575,,,,[],0,,False,True,
csd-20260805_174708,paired_hierarchical,1,0,0,4d9807831900dc0c,marA->hdeB,shared_complete_observation_shared_scores,maximum,prefix,complete,0,50000,0.4,0.95,biological_error,2151398048,921666314,2151398048,marA,hdeB,False,identifiable,acrR|cpxR|cra|crp|fis|fliZ|gadE|gadW|gadX|hns|lrp|nac|ompR|phoP|rcsB|rpoD|rpoS|soxS|torR,50000,-0.010109270591608864,0.0037408024705920923,0.08605984382059256,-2.7024336812974714,-0.21396973052620727,3575,,,,[],0,,False,True,
