run,n_samples,nonident_cause,baseline_edges,recovered_rows,recovered_edges,recovery_rate,recovered_edge_share
csd_n10_k3_umi_paired,100,cross_scc_blocked,6157,243804,6124,0.9946402468734773,0.9689873417721518
csd_n10_k3_umi_paired,100,same_scc_long,247,732,151,0.611336032388664,0.023892405063291138
csd_n10_k3_umi_paired,100,scc_edge_dissolved,28,140,23,0.8214285714285714,0.003639240506329114
csd_n10_k3_umi_paired,100,self_loop,174,0,0,0.0,0.0
csd_n10_k3_umi_paired,100,two_cycle,70,88,22,0.3142857142857143,0.003481012658227848
csd_n10_k3_umi_paired,1000,cross_scc_blocked,6157,243804,6124,0.9946402468734773,0.9689873417721518
csd_n10_k3_umi_paired,1000,same_scc_long,247,732,151,0.611336032388664,0.023892405063291138
csd_n10_k3_umi_paired,1000,scc_edge_dissolved,28,140,23,0.8214285714285714,0.003639240506329114
csd_n10_k3_umi_paired,1000,self_loop,174,0,0,0.0,0.0
csd_n10_k3_umi_paired,1000,two_cycle,70,88,22,0.3142857142857143,0.003481012658227848
csd_n10_k3_umi_paired,10000,cross_scc_blocked,6157,208004,6124,0.9946402468734773,0.9689873417721518
csd_n10_k3_umi_paired,10000,same_scc_long,247,649,151,0.611336032388664,0.023892405063291138
csd_n10_k3_umi_paired,10000,scc_edge_dissolved,28,120,23,0.8214285714285714,0.003639240506329114
csd_n10_k3_umi_paired,10000,self_loop,174,0,0,0.0,0.0
csd_n10_k3_umi_paired,10000,two_cycle,70,76,22,0.3142857142857143,0.003481012658227848
