RNAs	Regulates	Regulated-By	Regulation - transcription/translation-level regulators of polypeptide, complex, or RNA	Regulation - genes regulated by polypeptide, complex or RNA
small RNA RyjA			RNA polymerase sigma factor RpoS	
small regulatory RNA SdsN	Regulation of narP by small regulatory RNA SdsN // Regulation of hmp by small regulatory RNA SdsN // Regulation of nfsA by small regulatory RNA SdsN		RNA polymerase sigma factor RpoS	narP // hmp // nfsA
small regulatory RNA GadY	Regulation of gadXW by small regulatory RNA GadY		RNA polymerase sigma factor RpoS // DNA-binding transcriptional dual regulator SdiA // DNA-binding transcriptional dual regulator RcsB-phosphorylated // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator LldR-<i>S</i>-lactate // DNA-binding transcriptional dual regulator Lrp // DNA-binding transcriptional dual regulator GadW	gadW // gadX
small regulatory RNA ArrS	Regulation of cfa by small regulatory RNA ArrS // Regulation of cfa by small regulatory RNA ArrS // Regulation of gadEF by small regulatory RNA ArrS		RNA polymerase sigma factor RpoS // RNA polymerase sigma factor RpoD	cfa // gadF // gadE
small regulatory RNA PspH			RNA polymerase sigma factor RpoN // DNA-binding transcriptional dual regulator PspF // DNA-binding transcriptional dual regulator IHF	
small regulatory RNA GlnZ	Regulation of sucA by small regulatory RNA GlnZ // Regulation of glnP by small regulatory RNA GlnZ		RNA polymerase sigma factor RpoN // RNA polymerase sigma factor RpoD // DNA-binding transcriptional dual regulator Fis // CRP-cyclic-AMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator NtrC-phosphorylated	sucA // glnP
small regulatory RNA GlmY			RNA polymerase sigma factor RpoN // RNA polymerase sigma factor RpoD // DNA-binding transcriptional dual regulator IHF // DNA-binding transcriptional activator GlrR-phosphorylated	
small RNA RaiZ			RNA polymerase sigma factor RpoH // CRP-cyclic-AMP DNA-binding transcriptional dual regulator	
small regulatory RNA SdsR	Regulation of yhcB by small regulatory RNA SdsR // Regulation of tolC by small regulatory RNA SdsR // Regulation of mutS by small regulatory RNA SdsR		RNA polymerase sigma factor RpoH // RNA polymerase sigma factor RpoS	zapG // tolC // mutS
small regulatory RNA RybB	Regulation of csgDEFG by small regulatory RNA RybB // Regulation of ompF by small regulatory RNA RybB // Regulation of csgDEFG by small regulatory RNA RybB // Regulation of rbsB by small regulatory RNA RybB // Regulation of fadL by small regulatory RNA RybB // Regulation of rluD by small regulatory RNA RybB // Regulation of fiu by small regulatory RNA RybB // Regulation of nmpC by small regulatory RNA RybB // Regulation of ompF by small regulatory RNA RybB // Regulation of yifE by small regulatory RNA RybB // Regulation of sdhC by small regulatory RNA RybB // Regulation of tsx by small regulatory RNA RybB // Regulation of tsx by small regulatory RNA RybB // Regulation of ompW by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA RybB // Regulation of ompC by small regulatory RNA RybB		RNA polymerase sigma factor RpoE // DksA-ppGpp // RNA polymerase-binding transcription factor DksA // DNA-binding transcriptional dual regulator NsrR	csgG // csgF // csgE // csgD // rbsB // fadL // rluD // fiu // nmpC // ompF // maoP // sdhC // tsx // ompW // ompC
