Genes	Synonyms	blattner number	EcoGene ID	Common-Name	Product	Accession-1	Common-Name	Protein Names	Gene Names	Object ID
EG11221		b1852	ECK1853	zwf	GLU6PDEHYDROG-MONOMER			Zwf // G6PDH	zwf // b1852 // ECK1853	EG11221
EG11929	yjbK // znuR	b4046	ECK4038	zur	EG11929-MONOMER		DNA-binding transcriptional repressor Zur	DNA-binding transcriptional repressor Zur // ZnuR // YjbK // Zur // Zur	zur // yjbK // znuR // b4046 // ECK4038	EG11929
EG11167	ygiE	b3040	ECK3031	zupT	EG11167-MONOMER		divalent metal ion transporter ZupT	divalent metal ion transporter ZupT // ZupT // YgiE	zupT // ygiE // b3040 // ECK3031	EG11167
EG10008	hydH	b4003	ECK3995	zraS	PHOSPHO-HYDH // HYDH-MONOMER		ZraS-<i>N</i>-phospho-L-histidine // sensor histidine kinase ZraS	ZraS-<i>N</i>-phospho-L-histidine // ZraS-P<sup>his254</sup> // sensor histidine kinase ZraS // HydH // ZraS	zraS // hydH // b4003 // ECK3995	EG10008
EG10482	hydG	b4004	ECK3996	zraR	PHOSPHO-HYDG // HYDG-MONOMER		DNA-binding transcriptional activator ZraR-phosphorylated // DNA-binding transcriptional activator ZraR	DNA-binding transcriptional activator ZraR-phosphorylated // ZraR-P<sup>asp56</sup> // HydG // ZraR response regulator - phosphorylated // DNA-binding transcriptional activator ZraR // ZraR response regulator // ZraR	zraR // hydG // b4004 // ECK3996	EG10482
EG11918	yjaI // zra	b4002	ECK3994	zraP	EG11918-MONOMER		signaling pathway modulator ZraP	signaling pathway modulator ZraP // Zra // YjaI // ZraP	zraP // yjaI // zra // b4002 // ECK3994	EG11918
G7018	yebM	b1858	ECK1859	znuC	ZNUC-MONOMER		Zn<sup>2+</sup> ABC transporter ATP binding subunit	Zn<sup>2+</sup> ABC transporter ATP binding subunit // YebM // ZnuC	znuC // yebM // b1858 // ECK1859	G7018
EG12368	yebI	b1859	ECK1860	znuB	ZNUB-MONOMER		Zn<sup>2+</sup> ABC transporter membrane subunit	Zn<sup>2+</sup> ABC transporter membrane subunit // YebI // ZnuB	znuB // yebI // b1859 // ECK1860	EG12368
G7017	yzzP // yebL	b1857	ECK1858	znuA	ZNUA-MONOMER		Zn<sup>2+</sup> ABC transporter periplasmic binding protein	Zn<sup>2+</sup> ABC transporter periplasmic binding protein // YzzP // YebL // ZnuA	znuA // yzzP // yebL // b1857 // ECK1858	G7017
EG11969	yhdM	b3292	ECK3279	zntR	EG11969-MONOMER		DNA-binding transcriptional activator ZntR	DNA-binding transcriptional activator ZntR // YhdM // ZntR // ZntR	zntR // yhdM // b3292 // ECK3279	EG11969
G6674	ydaN	b1342	ECK1339	zntB	G6674-MONOMER		Zn<sup>2+</sup>:H<sup>+</sup> symporter	Zn<sup>2+</sup>:H<sup>+</sup> symporter // ZntB // YdaN	zntB // ydaN // b1342 // ECK1339	G6674
EG12215	yhhO	b3469	ECK3453	zntA	YHHO-MONOMER		Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Pb<sup>2+</sup> exporting P-type ATPase // YhhO // ZntA	zntA // yhhO // b3469 // ECK3453	EG12215
G6393	ybgR	b0752	ECK0741	zitB	B0752-MONOMER		Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter // ZitB // YbgR // ZitB zinc CDF transporter	zitB // ybgR // b0752 // ECK0741	G6393
G7258		b2412	ECK2407	zipA	G7258-MONOMER		cell division protein ZipA	cell division protein ZipA // ZipA // essential cell division protein ZipA	zipA // b2412 // ECK2407	G7258
G7061	yodA	b1973	ECK1969	zinT	G7061-MONOMER		metal-binding protein ZinT	metal-binding protein ZinT // YodA // ZinT // cadmium-induced cadmium binding protein	zinT // yodA // b1973 // ECK1969	G7061
G0-17089		b4814	ECK4671	zbiJ	RNA0-417		small regulatory RNA ZbiJ	small regulatory RNA ZbiJ // ZbiJ // asYbiE	zbiJ // b4814 // ECK4671	G0-17089
G7681	lapD // zapG	b3233	ECK3222	yhcB	G7681-MONOMER		inner membrane protein YhcB	inner membrane protein YhcB // LapD // ZapG // YhcB	yhcB // lapD // zapG // b3233 // ECK3222	G7681
